"File name (suggested)","Style","Type","Location"
"review-simpsons-extra-04.jpg","The Simpsons","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-south-park-01.jpg","South Park","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-south-park-03.jpg","South Park","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-south-park-extra-1.jpg","South Park","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-rick-and-morty-01.jpg","Rick and Morty","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-rick-and-morty-03.jpg","Rick and Morty","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-rick-and-morty-extra-01.jpg","Rick and Morty","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-rick-and-morty-extra-04.jpg","Rick and Morty","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-futurama-01.jpg","Futurama","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-futurama-03.jpg","Futurama","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-avatar-the-last-airbender-01.jpg","Avatar","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-avatar-the-last-airbender-03.jpg","Avatar","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-adventure-time-01.jpg","Adventure Time","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-adventure-time-03.jpg","Adventure Time","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-arcane-01.jpg","Arcane","After (finished portrait)","Reviews — homepage, /reviews, product pages"
"review-arcane-03.jpg","Arcane","After (finished portrait)","Reviews — homepage, /reviews, product pages"
